contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SNDK261218C00075000,2026-08-17 15:20:25+00:00,75.0,1738.65,1452.7,1467.0,0.0,0.0,1,5,2.667727940063477,True,REGULAR,USD
SNDK261218C00080000,2026-07-10 19:58:36+00:00,80.0,1843.85,1404.0,1423.7,0.0,0.0,60,1852,1.0000000000000003e-05,True,REGULAR,USD
SNDK261218C00085000,2026-07-02 18:36:27+00:00,85.0,1651.86,1400.0,1419.0,0.0,0.0,2,2,1.0000000000000003e-05,True,REGULAR,USD
SNDK261218C00090000,2026-05-05 15:25:11+00:00,90.0,1294.0,1547.3,1563.6,0.0,0.0,1,2,0.0,True,REGULAR,USD
SNDK261218C00095000,2026-07-06 13:42:21+00:00,95.0,1680.1,1390.0,1409.1,0.0,0.0,1,3,1.0000000000000003e-05,True,REGULAR,USD
SNDK261218C00100000,2026-07-06 13:36:27+00:00,100.0,1688.2,1384.0,1403.9,0.0,0.0,1,5,1.0000000000000003e-05,True,REGULAR,USD
SNDK261218C00105000,2026-07-02 17:51:29+00:00,105.0,1616.99,1380.0,1399.2,0.0,0.0,1,1,1.0000000000000003e-05,True,REGULAR,USD
SNDK261218C00110000,2026-07-17 14:00:05+00:00,110.0,1294.4,1374.0,1393.9,0.0,0.0,1,24,1.0000000000000003e-05,True,REGULAR,USD
SNDK261218C00115000,2026-02-03 16:19:11+00:00,115.0,561.7,546.3,557.4,0.0,0.0,3,5,1.0000000000000003e-05,True,REGULAR,USD
SNDK261218C00120000,2026-08-19 19:42:12+00:00,120.0,1446.99,1408.8,1422.6,0.0,0.0,70,944,2.2788128967285153,True,REGULAR,USD
SNDK261218C00125000,2026-05-08 14:47:42+00:00,125.0,1344.0,1513.5,1529.9,0.0,0.0,1,5,7.321656121368408,True,REGULAR,USD
SNDK261218C00130000,2026-04-02 19:53:47+00:00,130.0,579.0,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
SNDK261218C00135000,2026-06-10 15:49:41+00:00,135.0,1518.64,1477.3,1493.1,0.0,0.0,1,1,5.308475044097899,True,REGULAR,USD
SNDK261218C00140000,2026-07-28 13:31:40+00:00,140.0,1038.4,1389.8,1402.9,0.0,0.0,1,2,2.1594284295654296,True,REGULAR,USD
SNDK261218C00145000,2026-01-06 14:30:28+00:00,145.0,180.0,460.2,473.4,0.0,0.0,1,1,1.0000000000000003e-05,True,REGULAR,USD
SNDK261218C00150000,2026-06-22 19:01:31+00:00,150.0,2177.17,1460.5,1474.9,0.0,0.0,1,4,4.830204157562255,True,REGULAR,USD
SNDK261218C00155000,2026-07-06 15:05:38+00:00,155.0,1649.03,1330.0,1349.9,0.0,0.0,1,3,1.0000000000000003e-05,True,REGULAR,USD
SNDK261218C00160000,2026-06-11 19:22:03+00:00,160.0,1710.23,1453.2,1469.0,0.0,0.0,1,1,4.72601727607727,True,REGULAR,USD
SNDK261218C00165000,2026-08-06 13:36:35+00:00,165.0,1044.9,1363.9,1378.3,0.0,0.0,1,2,2.035649442138672,True,REGULAR,USD
SNDK261218C00170000,2026-06-17 14:27:22+00:00,170.0,1816.2,1441.4,1455.7,0.0,0.0,1,8,4.460148467788697,True,REGULAR,USD
SNDK261218C00175000,2026-07-17 13:30:16+00:00,175.0,1202.1,1310.0,1329.9,0.0,0.0,1,45,1.0000000000000003e-05,True,REGULAR,USD
SNDK261218C00180000,2026-06-25 13:47:20+00:00,180.0,2022.0,1306.5,1323.6,0.0,0.0,1,3,1.0000000000000003e-05,True,REGULAR,USD
SNDK261218C00185000,2026-04-08 14:47:25+00:00,185.0,592.8,1222.8,1239.6,0.0,0.0,1,8,1.0000000000000003e-05,True,REGULAR,USD
SNDK261218C00190000,2026-04-09 17:07:30+00:00,190.0,651.7,1218.0,1234.0,0.0,0.0,1,4,1.0000000000000003e-05,True,REGULAR,USD
SNDK261218C00195000,2026-05-05 16:19:25+00:00,195.0,1215.0,1446.8,1463.1,0.0,0.0,2,17,4.870121099853515,True,REGULAR,USD
SNDK261218C00200000,2026-08-19 19:42:12+00:00,200.0,1368.23,1329.5,1343.8,0.0,0.0,70,252,1.8879400134277344,True,REGULAR,USD
SNDK261218C00210000,2026-07-29 14:24:09+00:00,210.0,830.0,1319.6,1333.9,0.0,0.0,1,100,1.8479011511230468,True,REGULAR,USD
SNDK261218C00220000,2026-07-27 14:02:43+00:00,220.0,1104.1,1309.8,1324.0,0.0,0.0,1,144,1.8098154040527343,True,REGULAR,USD
SNDK261218C00230000,2026-06-15 16:59:53+00:00,230.0,1883.82,1386.4,1403.8,0.0,0.0,1,59,3.7897038948822024,True,REGULAR,USD
SNDK261218C00240000,2026-06-22 16:01:44+00:00,240.0,2065.57,1375.2,1389.5,0.0,0.0,1,42,3.6311349553680428,True,REGULAR,USD
SNDK261218C00250000,2026-08-03 14:00:06+00:00,250.0,985.4,1280.2,1294.6,0.0,0.0,1,90,1.7224134973144531,True,REGULAR,USD
SNDK261218C00260000,2026-08-03 14:00:05+00:00,260.0,976.2,1270.6,1284.7,0.0,0.0,1,91,1.6901870959472656,True,REGULAR,USD
SNDK261218C00270000,2026-07-27 18:38:31+00:00,270.0,987.05,1260.5,1274.9,0.0,0.0,9,147,1.6641862493896487,True,REGULAR,USD
SNDK261218C00280000,2026-07-07 18:52:55+00:00,280.0,1307.0,1208.1,1225.1,0.0,0.0,1,39,1.0000000000000003e-05,True,REGULAR,USD
SNDK261218C00290000,2026-03-31 14:16:26+00:00,290.0,355.96,0.0,0.0,0.0,0.0,3,0,1.0000000000000003e-05,True,REGULAR,USD
SNDK261218C00300000,2026-07-28 14:17:43+00:00,300.0,777.05,1231.8,1245.4,0.0,0.0,2,157,1.586549918823242,True,REGULAR,USD
SNDK261218C00310000,2026-06-05 19:05:00+00:00,310.0,1264.29,0.0,0.0,0.0,0.0,10,0,1.0000000000000003e-05,True,REGULAR,USD
SNDK261218C00320000,2026-07-28 15:53:10+00:00,320.0,804.04,1211.6,1225.7,0.0,0.0,1,27,1.5372337591552734,True,REGULAR,USD
SNDK261218C00330000,2026-08-14 19:46:51+00:00,330.0,1294.65,1198.7,1213.0,0.0,0.0,270,411,1.378421076660156,True,REGULAR,USD
SNDK261218C00340000,2026-04-24 14:55:47+00:00,340.0,684.58,1312.0,1328.0,0.0,0.0,2,12,3.385011303100585,True,REGULAR,USD
